time_period,time_identifier,geographic_level,country_code,country_name,gender,subject,mode_of_study,level,domicile,t_students
202122,Academic year,National,K02000001,United Kingdom,Female,"Design, and creative and performing arts",Part-time,Masters and Others,Total,3210
202122,Academic year,National,K02000001,United Kingdom,Female,"Design, and creative and performing arts",Part-time,Other Undergraduate,Total,2900
202122,Academic year,National,K02000001,United Kingdom,Female,"Design, and creative and performing arts",Part-time,PhD and equivalent,Total,840
202122,Academic year,National,K02000001,United Kingdom,Female,Education and teaching,Full-time,First degree,Total,34700
202122,Academic year,National,K02000001,United Kingdom,Female,Education and teaching,Full-time,Masters and Others,Total,28370
202122,Academic year,National,K02000001,United Kingdom,Female,Education and teaching,Full-time,Other Undergraduate,Total,5940
202122,Academic year,National,K02000001,United Kingdom,Female,Education and teaching,Full-time,PhD and equivalent,Total,1320
202122,Academic year,National,K02000001,United Kingdom,Female,Education and teaching,Part-time,First degree,Total,8800
202122,Academic year,National,K02000001,United Kingdom,Female,Education and teaching,Part-time,Masters and Others,Total,22660
202122,Academic year,National,K02000001,United Kingdom,Female,Education and teaching,Part-time,Other Undergraduate,Total,5155
202122,Academic year,National,K02000001,United Kingdom,Female,Education and teaching,Part-time,PhD and equivalent,Total,2505
202122,Academic year,National,K02000001,United Kingdom,Female,Engineering and technology,Full-time,First degree,Total,21640
202122,Academic year,National,K02000001,United Kingdom,Female,Engineering and technology,Full-time,Masters and Others,Total,7390
202122,Academic year,National,K02000001,United Kingdom,Female,Engineering and technology,Full-time,Other Undergraduate,Total,840
202122,Academic year,National,K02000001,United Kingdom,Female,Engineering and technology,Full-time,PhD and equivalent,Total,3555
202122,Academic year,National,K02000001,United Kingdom,Female,Engineering and technology,Part-time,First degree,Total,2670
202122,Academic year,National,K02000001,United Kingdom,Female,Engineering and technology,Part-time,Masters and Others,Total,1465
202122,Academic year,National,K02000001,United Kingdom,Female,Engineering and technology,Part-time,Other Undergraduate,Total,1380
202122,Academic year,National,K02000001,United Kingdom,Female,Engineering and technology,Part-time,PhD and equivalent,Total,280
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (natural sciences)",Full-time,First degree,Total,10380
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (natural sciences)",Full-time,Masters and Others,Total,2145
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (natural sciences)",Full-time,Other Undergraduate,Total,45
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (natural sciences)",Full-time,PhD and equivalent,Total,1300
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (natural sciences)",Part-time,First degree,Total,2230
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (natural sciences)",Part-time,Masters and Others,Total,1085
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (natural sciences)",Part-time,Other Undergraduate,Total,255
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (natural sciences)",Part-time,PhD and equivalent,Total,195
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (social sciences)",Full-time,First degree,Total,4995
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (social sciences)",Full-time,Masters and Others,Total,1335
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (social sciences)",Full-time,Other Undergraduate,Total,60
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (social sciences)",Full-time,PhD and equivalent,Total,250
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (social sciences)",Part-time,First degree,Total,80
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (social sciences)",Part-time,Masters and Others,Total,375
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (social sciences)",Part-time,Other Undergraduate,Total,75
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (social sciences)",Part-time,PhD and equivalent,Total,55
202122,Academic year,National,K02000001,United Kingdom,Female,"Historical, philosophical and religious studies",Full-time,First degree,Total,30510
202122,Academic year,National,K02000001,United Kingdom,Female,"Historical, philosophical and religious studies",Full-time,Masters and Others,Total,4575
202122,Academic year,National,K02000001,United Kingdom,Female,"Historical, philosophical and religious studies",Full-time,Other Undergraduate,Total,385
202122,Academic year,National,K02000001,United Kingdom,Female,"Historical, philosophical and religious studies",Full-time,PhD and equivalent,Total,2050
202122,Academic year,National,K02000001,United Kingdom,Female,"Historical, philosophical and religious studies",Part-time,First degree,Total,3610
202122,Academic year,National,K02000001,United Kingdom,Female,"Historical, philosophical and religious studies",Part-time,Masters and Others,Total,3170
202122,Academic year,National,K02000001,United Kingdom,Female,"Historical, philosophical and religious studies",Part-time,Other Undergraduate,Total,1160
202122,Academic year,National,K02000001,United Kingdom,Female,"Historical, philosophical and religious studies",Part-time,PhD and equivalent,Total,1090
202122,Academic year,National,K02000001,United Kingdom,Female,Language and area studies,Full-time,First degree,Total,42000
202122,Academic year,National,K02000001,United Kingdom,Female,Language and area studies,Full-time,Masters and Others,Total,6410
202122,Academic year,National,K02000001,United Kingdom,Female,Language and area studies,Full-time,Other Undergraduate,Total,720
202122,Academic year,National,K02000001,United Kingdom,Female,Language and area studies,Full-time,PhD and equivalent,Total,2340
202122,Academic year,National,K02000001,United Kingdom,Female,Language and area studies,Part-time,First degree,Total,5175
202122,Academic year,National,K02000001,United Kingdom,Female,Language and area studies,Part-time,Masters and Others,Total,3780
202122,Academic year,National,K02000001,United Kingdom,Female,Language and area studies,Part-time,Other Undergraduate,Total,2365
202122,Academic year,National,K02000001,United Kingdom,Female,Language and area studies,Part-time,PhD and equivalent,Total,760
202122,Academic year,National,K02000001,United Kingdom,Female,Law,Full-time,First degree,Total,53290
202122,Academic year,National,K02000001,United Kingdom,Female,Law,Full-time,Masters and Others,Total,15480
202122,Academic year,National,K02000001,United Kingdom,Female,Law,Full-time,Other Undergraduate,Total,1675
202122,Academic year,National,K02000001,United Kingdom,Female,Law,Full-time,PhD and equivalent,Total,800
202122,Academic year,National,K02000001,United Kingdom,Female,Law,Part-time,First degree,Total,8570
202122,Academic year,National,K02000001,United Kingdom,Female,Law,Part-time,Masters and Others,Total,7675
202122,Academic year,National,K02000001,United Kingdom,Female,Law,Part-time,Other Undergraduate,Total,3340
202122,Academic year,National,K02000001,United Kingdom,Female,Law,Part-time,PhD and equivalent,Total,295
202122,Academic year,National,K02000001,United Kingdom,Female,Mathematical sciences,Full-time,First degree,Total,12770
202122,Academic year,National,K02000001,United Kingdom,Female,Mathematical sciences,Full-time,Masters and Others,Total,2915
202122,Academic year,National,K02000001,United Kingdom,Female,Mathematical sciences,Full-time,Other Undergraduate,Total,2745
202122,Academic year,National,K02000001,United Kingdom,Female,Mathematical sciences,Full-time,PhD and equivalent,Total,870
202122,Academic year,National,K02000001,United Kingdom,Female,Mathematical sciences,Part-time,First degree,Total,2155
202122,Academic year,National,K02000001,United Kingdom,Female,Mathematical sciences,Part-time,Masters and Others,Total,790
202122,Academic year,National,K02000001,United Kingdom,Female,Mathematical sciences,Part-time,Other Undergraduate,Total,2945
202122,Academic year,National,K02000001,United Kingdom,Female,Mathematical sciences,Part-time,PhD and equivalent,Total,70
202122,Academic year,National,K02000001,United Kingdom,Female,"Media, journalism and communications",Full-time,First degree,Total,18750
