time_period,time_identifier,geographic_level,country_code,country_name,gender,subject,mode_of_study,level,domicile,t_students
202122,Academic year,National,K02000001,United Kingdom,Male,Veterinary sciences,Full-time,Other Undergraduate,Total,85
202122,Academic year,National,K02000001,United Kingdom,Male,Veterinary sciences,Full-time,PhD and equivalent,Total,95
202122,Academic year,National,K02000001,United Kingdom,Male,Veterinary sciences,Part-time,First degree,Total,10
202122,Academic year,National,K02000001,United Kingdom,Male,Veterinary sciences,Part-time,Masters and Others,Total,390
202122,Academic year,National,K02000001,United Kingdom,Male,Veterinary sciences,Part-time,Other Undergraduate,Total,35
202122,Academic year,National,K02000001,United Kingdom,Male,Veterinary sciences,Part-time,PhD and equivalent,Total,10
202122,Academic year,National,K02000001,United Kingdom,Total,"Agriculture, food and related studies",Full-time,First degree,Total,10330
202122,Academic year,National,K02000001,United Kingdom,Total,"Agriculture, food and related studies",Full-time,Masters and Others,Total,2440
202122,Academic year,National,K02000001,United Kingdom,Total,"Agriculture, food and related studies",Full-time,Other Undergraduate,Total,4450
202122,Academic year,National,K02000001,United Kingdom,Total,"Agriculture, food and related studies",Full-time,PhD and equivalent,Total,460
202122,Academic year,National,K02000001,United Kingdom,Total,"Agriculture, food and related studies",Part-time,First degree,Total,570
202122,Academic year,National,K02000001,United Kingdom,Total,"Agriculture, food and related studies",Part-time,Masters and Others,Total,1870
202122,Academic year,National,K02000001,United Kingdom,Total,"Agriculture, food and related studies",Part-time,Other Undergraduate,Total,2880
202122,Academic year,National,K02000001,United Kingdom,Total,"Agriculture, food and related studies",Part-time,PhD and equivalent,Total,115
202122,Academic year,National,K02000001,United Kingdom,Total,"Architecture, building and planning",Full-time,First degree,Total,31860
202122,Academic year,National,K02000001,United Kingdom,Total,"Architecture, building and planning",Full-time,Masters and Others,Total,13045
202122,Academic year,National,K02000001,United Kingdom,Total,"Architecture, building and planning",Full-time,Other Undergraduate,Total,1565
202122,Academic year,National,K02000001,United Kingdom,Total,"Architecture, building and planning",Full-time,PhD and equivalent,Total,1160
202122,Academic year,National,K02000001,United Kingdom,Total,"Architecture, building and planning",Part-time,First degree,Total,8305
202122,Academic year,National,K02000001,United Kingdom,Total,"Architecture, building and planning",Part-time,Masters and Others,Total,6365
202122,Academic year,National,K02000001,United Kingdom,Total,"Architecture, building and planning",Part-time,Other Undergraduate,Total,1680
202122,Academic year,National,K02000001,United Kingdom,Total,"Architecture, building and planning",Part-time,PhD and equivalent,Total,415
202122,Academic year,National,K02000001,United Kingdom,Total,Biological and sport sciences,Full-time,First degree,Total,88625
202122,Academic year,National,K02000001,United Kingdom,Total,Biological and sport sciences,Full-time,Masters and Others,Total,8305
202122,Academic year,National,K02000001,United Kingdom,Total,Biological and sport sciences,Full-time,Other Undergraduate,Total,4930
202122,Academic year,National,K02000001,United Kingdom,Total,Biological and sport sciences,Full-time,PhD and equivalent,Total,7175
202122,Academic year,National,K02000001,United Kingdom,Total,Biological and sport sciences,Part-time,First degree,Total,6055
202122,Academic year,National,K02000001,United Kingdom,Total,Biological and sport sciences,Part-time,Masters and Others,Total,4140
202122,Academic year,National,K02000001,United Kingdom,Total,Biological and sport sciences,Part-time,Other Undergraduate,Total,1045
202122,Academic year,National,K02000001,United Kingdom,Total,Biological and sport sciences,Part-time,PhD and equivalent,Total,1440
202122,Academic year,National,K02000001,United Kingdom,Total,Business and management,Full-time,First degree,Total,292265
202122,Academic year,National,K02000001,United Kingdom,Total,Business and management,Full-time,Masters and Others,Total,143165
202122,Academic year,National,K02000001,United Kingdom,Total,Business and management,Full-time,Other Undergraduate,Total,20580
202122,Academic year,National,K02000001,United Kingdom,Total,Business and management,Full-time,PhD and equivalent,Total,4235
202122,Academic year,National,K02000001,United Kingdom,Total,Business and management,Part-time,First degree,Total,25370
202122,Academic year,National,K02000001,United Kingdom,Total,Business and management,Part-time,Masters and Others,Total,38725
202122,Academic year,National,K02000001,United Kingdom,Total,Business and management,Part-time,Other Undergraduate,Total,10090
202122,Academic year,National,K02000001,United Kingdom,Total,Business and management,Part-time,PhD and equivalent,Total,2630
202122,Academic year,National,K02000001,United Kingdom,Total,Combined and general studies,Full-time,First degree,Total,7175
202122,Academic year,National,K02000001,United Kingdom,Total,Combined and general studies,Full-time,Masters and Others,Total,1845
202122,Academic year,National,K02000001,United Kingdom,Total,Combined and general studies,Full-time,Other Undergraduate,Total,3640
202122,Academic year,National,K02000001,United Kingdom,Total,Combined and general studies,Full-time,PhD and equivalent,Total,400
202122,Academic year,National,K02000001,United Kingdom,Total,Combined and general studies,Part-time,First degree,Total,14440
202122,Academic year,National,K02000001,United Kingdom,Total,Combined and general studies,Part-time,Masters and Others,Total,7100
202122,Academic year,National,K02000001,United Kingdom,Total,Combined and general studies,Part-time,Other Undergraduate,Total,15785
202122,Academic year,National,K02000001,United Kingdom,Total,Combined and general studies,Part-time,PhD and equivalent,Total,295
202122,Academic year,National,K02000001,United Kingdom,Total,Computing,Full-time,First degree,Total,89775
202122,Academic year,National,K02000001,United Kingdom,Total,Computing,Full-time,Masters and Others,Total,37730
202122,Academic year,National,K02000001,United Kingdom,Total,Computing,Full-time,Other Undergraduate,Total,4050
202122,Academic year,National,K02000001,United Kingdom,Total,Computing,Full-time,PhD and equivalent,Total,4505
202122,Academic year,National,K02000001,United Kingdom,Total,Computing,Part-time,First degree,Total,17755
202122,Academic year,National,K02000001,United Kingdom,Total,Computing,Part-time,Masters and Others,Total,10005
202122,Academic year,National,K02000001,United Kingdom,Total,Computing,Part-time,Other Undergraduate,Total,2390
202122,Academic year,National,K02000001,United Kingdom,Total,Computing,Part-time,PhD and equivalent,Total,845
202122,Academic year,National,K02000001,United Kingdom,Total,"Design, and creative and performing arts",Full-time,First degree,Total,150305
202122,Academic year,National,K02000001,United Kingdom,Total,"Design, and creative and performing arts",Full-time,Masters and Others,Total,22390
202122,Academic year,National,K02000001,United Kingdom,Total,"Design, and creative and performing arts",Full-time,Other Undergraduate,Total,13105
202122,Academic year,National,K02000001,United Kingdom,Total,"Design, and creative and performing arts",Full-time,PhD and equivalent,Total,1830
202122,Academic year,National,K02000001,United Kingdom,Total,"Design, and creative and performing arts",Part-time,First degree,Total,5390
202122,Academic year,National,K02000001,United Kingdom,Total,"Design, and creative and performing arts",Part-time,Masters and Others,Total,4935
202122,Academic year,National,K02000001,United Kingdom,Total,"Design, and creative and performing arts",Part-time,Other Undergraduate,Total,3770
202122,Academic year,National,K02000001,United Kingdom,Total,"Design, and creative and performing arts",Part-time,PhD and equivalent,Total,1475
202122,Academic year,National,K02000001,United Kingdom,Total,Education and teaching,Full-time,First degree,Total,39865
202122,Academic year,National,K02000001,United Kingdom,Total,Education and teaching,Full-time,Masters and Others,Total,38130
202122,Academic year,National,K02000001,United Kingdom,Total,Education and teaching,Full-time,Other Undergraduate,Total,7560
202122,Academic year,National,K02000001,United Kingdom,Total,Education and teaching,Full-time,PhD and equivalent,Total,1790
202122,Academic year,National,K02000001,United Kingdom,Total,Education and teaching,Part-time,First degree,Total,9710
202122,Academic year,National,K02000001,United Kingdom,Total,Education and teaching,Part-time,Masters and Others,Total,32720
202122,Academic year,National,K02000001,United Kingdom,Total,Education and teaching,Part-time,Other Undergraduate,Total,6845
202122,Academic year,National,K02000001,United Kingdom,Total,Education and teaching,Part-time,PhD and equivalent,Total,3780
202122,Academic year,National,K02000001,United Kingdom,Total,Engineering and technology,Full-time,First degree,Total,111035
202122,Academic year,National,K02000001,United Kingdom,Total,Engineering and technology,Full-time,Masters and Others,Total,30480
202122,Academic year,National,K02000001,United Kingdom,Total,Engineering and technology,Full-time,Other Undergraduate,Total,6940
202122,Academic year,National,K02000001,United Kingdom,Total,Engineering and technology,Full-time,PhD and equivalent,Total,12585
202122,Academic year,National,K02000001,United Kingdom,Total,Engineering and technology,Part-time,First degree,Total,15860
202122,Academic year,National,K02000001,United Kingdom,Total,Engineering and technology,Part-time,Masters and Others,Total,7250
202122,Academic year,National,K02000001,United Kingdom,Total,Engineering and technology,Part-time,Other Undergraduate,Total,12075
202122,Academic year,National,K02000001,United Kingdom,Total,Engineering and technology,Part-time,PhD and equivalent,Total,1320
202122,Academic year,National,K02000001,United Kingdom,Total,"Geography, earth and environmental studies (natural sciences)",Full-time,First degree,Total,19870
202122,Academic year,National,K02000001,United Kingdom,Total,"Geography, earth and environmental studies (natural sciences)",Full-time,Masters and Others,Total,4120
202122,Academic year,National,K02000001,United Kingdom,Total,"Geography, earth and environmental studies (natural sciences)",Full-time,Other Undergraduate,Total,160
202122,Academic year,National,K02000001,United Kingdom,Total,"Geography, earth and environmental studies (natural sciences)",Full-time,PhD and equivalent,Total,2500
202122,Academic year,National,K02000001,United Kingdom,Total,"Geography, earth and environmental studies (natural sciences)",Part-time,First degree,Total,4020
202122,Academic year,National,K02000001,United Kingdom,Total,"Geography, earth and environmental studies (natural sciences)",Part-time,Masters and Others,Total,1760
202122,Academic year,National,K02000001,United Kingdom,Total,"Geography, earth and environmental studies (natural sciences)",Part-time,Other Undergraduate,Total,445
202122,Academic year,National,K02000001,United Kingdom,Total,"Geography, earth and environmental studies (natural sciences)",Part-time,PhD and equivalent,Total,340
202122,Academic year,National,K02000001,United Kingdom,Total,"Geography, earth and environmental studies (social sciences)",Full-time,First degree,Total,8560
202122,Academic year,National,K02000001,United Kingdom,Total,"Geography, earth and environmental studies (social sciences)",Full-time,Masters and Others,Total,2420
202122,Academic year,National,K02000001,United Kingdom,Total,"Geography, earth and environmental studies (social sciences)",Full-time,Other Undergraduate,Total,90
202122,Academic year,National,K02000001,United Kingdom,Total,"Geography, earth and environmental studies (social sciences)",Full-time,PhD and equivalent,Total,465
202122,Academic year,National,K02000001,United Kingdom,Total,"Geography, earth and environmental studies (social sciences)",Part-time,First degree,Total,170
202122,Academic year,National,K02000001,United Kingdom,Total,"Geography, earth and environmental studies (social sciences)",Part-time,Masters and Others,Total,610
202122,Academic year,National,K02000001,United Kingdom,Total,"Geography, earth and environmental studies (social sciences)",Part-time,Other Undergraduate,Total,125
202122,Academic year,National,K02000001,United Kingdom,Total,"Geography, earth and environmental studies (social sciences)",Part-time,PhD and equivalent,Total,100
202122,Academic year,National,K02000001,United Kingdom,Total,"Historical, philosophical and religious studies",Full-time,First degree,Total,54335
202122,Academic year,National,K02000001,United Kingdom,Total,"Historical, philosophical and religious studies",Full-time,Masters and Others,Total,7685
202122,Academic year,National,K02000001,United Kingdom,Total,"Historical, philosophical and religious studies",Full-time,Other Undergraduate,Total,590
202122,Academic year,National,K02000001,United Kingdom,Total,"Historical, philosophical and religious studies",Full-time,PhD and equivalent,Total,4025
202122,Academic year,National,K02000001,United Kingdom,Total,"Historical, philosophical and religious studies",Part-time,First degree,Total,6930
202122,Academic year,National,K02000001,United Kingdom,Total,"Historical, philosophical and religious studies",Part-time,Masters and Others,Total,6010
202122,Academic year,National,K02000001,United Kingdom,Total,"Historical, philosophical and religious studies",Part-time,Other Undergraduate,Total,1935
202122,Academic year,National,K02000001,United Kingdom,Total,"Historical, philosophical and religious studies",Part-time,PhD and equivalent,Total,2290
202122,Academic year,National,K02000001,United Kingdom,Total,Language and area studies,Full-time,First degree,Total,56545
202122,Academic year,National,K02000001,United Kingdom,Total,Language and area studies,Full-time,Masters and Others,Total,8780
202122,Academic year,National,K02000001,United Kingdom,Total,Language and area studies,Full-time,Other Undergraduate,Total,1570
202122,Academic year,National,K02000001,United Kingdom,Total,Language and area studies,Full-time,PhD and equivalent,Total,3515
202122,Academic year,National,K02000001,United Kingdom,Total,Language and area studies,Part-time,First degree,Total,7145
202122,Academic year,National,K02000001,United Kingdom,Total,Language and area studies,Part-time,Masters and Others,Total,5360
202122,Academic year,National,K02000001,United Kingdom,Total,Language and area studies,Part-time,Other Undergraduate,Total,3875
202122,Academic year,National,K02000001,United Kingdom,Total,Language and area studies,Part-time,PhD and equivalent,Total,1180
202122,Academic year,National,K02000001,United Kingdom,Total,Law,Full-time,First degree,Total,81210
202122,Academic year,National,K02000001,United Kingdom,Total,Law,Full-time,Masters and Others,Total,25340
202122,Academic year,National,K02000001,United Kingdom,Total,Law,Full-time,Other Undergraduate,Total,2910
202122,Academic year,National,K02000001,United Kingdom,Total,Law,Full-time,PhD and equivalent,Total,1530
202122,Academic year,National,K02000001,United Kingdom,Total,Law,Part-time,First degree,Total,14060
202122,Academic year,National,K02000001,United Kingdom,Total,Law,Part-time,Masters and Others,Total,11495
202122,Academic year,National,K02000001,United Kingdom,Total,Law,Part-time,Other Undergraduate,Total,5965
202122,Academic year,National,K02000001,United Kingdom,Total,Law,Part-time,PhD and equivalent,Total,580
202122,Academic year,National,K02000001,United Kingdom,Total,Mathematical sciences,Full-time,First degree,Total,32925
202122,Academic year,National,K02000001,United Kingdom,Total,Mathematical sciences,Full-time,Masters and Others,Total,6575
202122,Academic year,National,K02000001,United Kingdom,Total,Mathematical sciences,Full-time,Other Undergraduate,Total,3620
202122,Academic year,National,K02000001,United Kingdom,Total,Mathematical sciences,Full-time,PhD and equivalent,Total,2970
202122,Academic year,National,K02000001,United Kingdom,Total,Mathematical sciences,Part-time,First degree,Total,4935
202122,Academic year,National,K02000001,United Kingdom,Total,Mathematical sciences,Part-time,Masters and Others,Total,1705
202122,Academic year,National,K02000001,United Kingdom,Total,Mathematical sciences,Part-time,Other Undergraduate,Total,4810
202122,Academic year,National,K02000001,United Kingdom,Total,Mathematical sciences,Part-time,PhD and equivalent,Total,225
202122,Academic year,National,K02000001,United Kingdom,Total,"Media, journalism and communications",Full-time,First degree,Total,32885
202122,Academic year,National,K02000001,United Kingdom,Total,"Media, journalism and communications",Full-time,Masters and Others,Total,10635
202122,Academic year,National,K02000001,United Kingdom,Total,"Media, journalism and communications",Full-time,Other Undergraduate,Total,1200
202122,Academic year,National,K02000001,United Kingdom,Total,"Media, journalism and communications",Full-time,PhD and equivalent,Total,810
202122,Academic year,National,K02000001,United Kingdom,Total,"Media, journalism and communications",Part-time,First degree,Total,710
202122,Academic year,National,K02000001,United Kingdom,Total,"Media, journalism and communications",Part-time,Masters and Others,Total,2300
202122,Academic year,National,K02000001,United Kingdom,Total,"Media, journalism and communications",Part-time,Other Undergraduate,Total,190
202122,Academic year,National,K02000001,United Kingdom,Total,"Media, journalism and communications",Part-time,PhD and equivalent,Total,405
202122,Academic year,National,K02000001,United Kingdom,Total,Medicine and dentistry,Full-time,First degree,Total,58275
202122,Academic year,National,K02000001,United Kingdom,Total,Medicine and dentistry,Full-time,Masters and Others,Total,5270
202122,Academic year,National,K02000001,United Kingdom,Total,Medicine and dentistry,Full-time,Other Undergraduate,Total,1640
202122,Academic year,National,K02000001,United Kingdom,Total,Medicine and dentistry,Full-time,PhD and equivalent,Total,5735
202122,Academic year,National,K02000001,United Kingdom,Total,Medicine and dentistry,Part-time,First degree,Total,290
202122,Academic year,National,K02000001,United Kingdom,Total,Medicine and dentistry,Part-time,Masters and Others,Total,10910
202122,Academic year,National,K02000001,United Kingdom,Total,Medicine and dentistry,Part-time,Other Undergraduate,Total,900
202122,Academic year,National,K02000001,United Kingdom,Total,Medicine and dentistry,Part-time,PhD and equivalent,Total,1455
202122,Academic year,National,K02000001,United Kingdom,Total,Physical sciences,Full-time,First degree,Total,51210
202122,Academic year,National,K02000001,United Kingdom,Total,Physical sciences,Full-time,Masters and Others,Total,4130
202122,Academic year,National,K02000001,United Kingdom,Total,Physical sciences,Full-time,Other Undergraduate,Total,4730
202122,Academic year,National,K02000001,United Kingdom,Total,Physical sciences,Full-time,PhD and equivalent,Total,8305
202122,Academic year,National,K02000001,United Kingdom,Total,Physical sciences,Part-time,First degree,Total,5125
202122,Academic year,National,K02000001,United Kingdom,Total,Physical sciences,Part-time,Masters and Others,Total,1040
202122,Academic year,National,K02000001,United Kingdom,Total,Physical sciences,Part-time,Other Undergraduate,Total,1465
202122,Academic year,National,K02000001,United Kingdom,Total,Physical sciences,Part-time,PhD and equivalent,Total,460
202122,Academic year,National,K02000001,United Kingdom,Total,Psychology,Full-time,First degree,Total,77930
202122,Academic year,National,K02000001,United Kingdom,Total,Psychology,Full-time,Masters and Others,Total,15080
202122,Academic year,National,K02000001,United Kingdom,Total,Psychology,Full-time,Other Undergraduate,Total,6370
202122,Academic year,National,K02000001,United Kingdom,Total,Psychology,Full-time,PhD and equivalent,Total,5700
202122,Academic year,National,K02000001,United Kingdom,Total,Psychology,Part-time,First degree,Total,25250
202122,Academic year,National,K02000001,United Kingdom,Total,Psychology,Part-time,Masters and Others,Total,14350
202122,Academic year,National,K02000001,United Kingdom,Total,Psychology,Part-time,Other Undergraduate,Total,7600
202122,Academic year,National,K02000001,United Kingdom,Total,Psychology,Part-time,PhD and equivalent,Total,1510
202122,Academic year,National,K02000001,United Kingdom,Total,Social sciences,Full-time,First degree,Total,175410
202122,Academic year,National,K02000001,United Kingdom,Total,Social sciences,Full-time,Masters and Others,Total,38855
202122,Academic year,National,K02000001,United Kingdom,Total,Social sciences,Full-time,Other Undergraduate,Total,11780
202122,Academic year,National,K02000001,United Kingdom,Total,Social sciences,Full-time,PhD and equivalent,Total,5690
202122,Academic year,National,K02000001,United Kingdom,Total,Social sciences,Part-time,First degree,Total,22085
202122,Academic year,National,K02000001,United Kingdom,Total,Social sciences,Part-time,Masters and Others,Total,24170
202122,Academic year,National,K02000001,United Kingdom,Total,Social sciences,Part-time,Other Undergraduate,Total,12240
202122,Academic year,National,K02000001,United Kingdom,Total,Social sciences,Part-time,PhD and equivalent,Total,2890
202122,Academic year,National,K02000001,United Kingdom,Total,Subjects allied to medicine,Full-time,First degree,Total,206645
202122,Academic year,National,K02000001,United Kingdom,Total,Subjects allied to medicine,Full-time,Masters and Others,Total,31600
202122,Academic year,National,K02000001,United Kingdom,Total,Subjects allied to medicine,Full-time,Other Undergraduate,Total,11500
202122,Academic year,National,K02000001,United Kingdom,Total,Subjects allied to medicine,Full-time,PhD and equivalent,Total,5125
202122,Academic year,National,K02000001,United Kingdom,Total,Subjects allied to medicine,Part-time,First degree,Total,21335
202122,Academic year,National,K02000001,United Kingdom,Total,Subjects allied to medicine,Part-time,Masters and Others,Total,62215
202122,Academic year,National,K02000001,United Kingdom,Total,Subjects allied to medicine,Part-time,Other Undergraduate,Total,28935
202122,Academic year,National,K02000001,United Kingdom,Total,Subjects allied to medicine,Part-time,PhD and equivalent,Total,2230
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Full-time,First degree,Overseas students,280320
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Full-time,First degree,Total,1686540
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Full-time,First degree,UK students,1406220
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Full-time,Masters and Others,Overseas students,306560
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Full-time,Masters and Others,Total,458295
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Full-time,Masters and Others,UK students,151730
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Full-time,Other Undergraduate,Overseas students,11080
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Full-time,Other Undergraduate,Total,116235
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Full-time,Other Undergraduate,UK students,105155
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Full-time,PhD and equivalent,Overseas students,39095
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Full-time,PhD and equivalent,Total,80770
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Full-time,PhD and equivalent,UK students,41680
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Part-time,First degree,Overseas students,5740
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Part-time,First degree,Total,216345
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Part-time,First degree,UK students,210605
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Part-time,Masters and Others,Overseas students,22525
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Part-time,Masters and Others,Total,256940
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Part-time,Masters and Others,UK students,234415
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Part-time,Other Undergraduate,Overseas students,11645
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Part-time,Other Undergraduate,Total,131190
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Part-time,Other Undergraduate,UK students,119545
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Part-time,PhD and equivalent,Overseas students,4635
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Part-time,PhD and equivalent,Total,26020
202122,Academic year,National,K02000001,United Kingdom,Total,Total,Part-time,PhD and equivalent,UK students,21385
202122,Academic year,National,K02000001,United Kingdom,Total,Veterinary sciences,Full-time,First degree,Total,9215
202122,Academic year,National,K02000001,United Kingdom,Total,Veterinary sciences,Full-time,Masters and Others,Total,275
202122,Academic year,National,K02000001,United Kingdom,Total,Veterinary sciences,Full-time,Other Undergraduate,Total,565
202122,Academic year,National,K02000001,United Kingdom,Total,Veterinary sciences,Full-time,PhD and equivalent,Total,250
202122,Academic year,National,K02000001,United Kingdom,Total,Veterinary sciences,Part-time,First degree,Total,135
202122,Academic year,National,K02000001,United Kingdom,Total,Veterinary sciences,Part-time,Masters and Others,Total,1845
202122,Academic year,National,K02000001,United Kingdom,Total,Veterinary sciences,Part-time,Other Undergraduate,Total,90
202122,Academic year,National,K02000001,United Kingdom,Total,Veterinary sciences,Part-time,PhD and equivalent,Total,45
202122,Academic year,National,K02000001,United Kingdom,Female,"Agriculture, food and related studies",Total,First degree,Total,7070
202122,Academic year,National,K02000001,United Kingdom,Female,"Agriculture, food and related studies",Total,Masters and Others,Total,2625
202122,Academic year,National,K02000001,United Kingdom,Female,"Agriculture, food and related studies",Total,Other Undergraduate,Total,3135
202122,Academic year,National,K02000001,United Kingdom,Female,"Agriculture, food and related studies",Total,PhD and equivalent,Total,355
202122,Academic year,National,K02000001,United Kingdom,Female,"Architecture, building and planning",Total,First degree,Total,14530
202122,Academic year,National,K02000001,United Kingdom,Female,"Architecture, building and planning",Total,Masters and Others,Total,8285
202122,Academic year,National,K02000001,United Kingdom,Female,"Architecture, building and planning",Total,Other Undergraduate,Total,1035
202122,Academic year,National,K02000001,United Kingdom,Female,"Architecture, building and planning",Total,PhD and equivalent,Total,750
202122,Academic year,National,K02000001,United Kingdom,Female,Biological and sport sciences,Total,First degree,Total,46285
202122,Academic year,National,K02000001,United Kingdom,Female,Biological and sport sciences,Total,Masters and Others,Total,6645
202122,Academic year,National,K02000001,United Kingdom,Female,Biological and sport sciences,Total,Other Undergraduate,Total,2310
202122,Academic year,National,K02000001,United Kingdom,Female,Biological and sport sciences,Total,PhD and equivalent,Total,4750
202122,Academic year,National,K02000001,United Kingdom,Female,Business and management,Total,First degree,Total,145975
202122,Academic year,National,K02000001,United Kingdom,Female,Business and management,Total,Masters and Others,Total,87890
202122,Academic year,National,K02000001,United Kingdom,Female,Business and management,Total,Other Undergraduate,Total,15805
202122,Academic year,National,K02000001,United Kingdom,Female,Business and management,Total,PhD and equivalent,Total,3215
202122,Academic year,National,K02000001,United Kingdom,Female,Combined and general studies,Total,First degree,Total,14170
202122,Academic year,National,K02000001,United Kingdom,Female,Combined and general studies,Total,Masters and Others,Total,5220
202122,Academic year,National,K02000001,United Kingdom,Female,Combined and general studies,Total,Other Undergraduate,Total,11100
202122,Academic year,National,K02000001,United Kingdom,Female,Combined and general studies,Total,PhD and equivalent,Total,450
202122,Academic year,National,K02000001,United Kingdom,Female,Computing,Total,First degree,Total,19515
202122,Academic year,National,K02000001,United Kingdom,Female,Computing,Total,Masters and Others,Total,15395
202122,Academic year,National,K02000001,United Kingdom,Female,Computing,Total,Other Undergraduate,Total,1290
202122,Academic year,National,K02000001,United Kingdom,Female,Computing,Total,PhD and equivalent,Total,1590
202122,Academic year,National,K02000001,United Kingdom,Female,"Design, and creative and performing arts",Total,First degree,Total,98780
202122,Academic year,National,K02000001,United Kingdom,Female,"Design, and creative and performing arts",Total,Masters and Others,Total,18375
202122,Academic year,National,K02000001,United Kingdom,Female,"Design, and creative and performing arts",Total,Other Undergraduate,Total,11640
202122,Academic year,National,K02000001,United Kingdom,Female,"Design, and creative and performing arts",Total,PhD and equivalent,Total,1905
202122,Academic year,National,K02000001,United Kingdom,Female,Education and teaching,Total,First degree,Total,43500
202122,Academic year,National,K02000001,United Kingdom,Female,Education and teaching,Total,Masters and Others,Total,51030
202122,Academic year,National,K02000001,United Kingdom,Female,Education and teaching,Total,Other Undergraduate,Total,11090
202122,Academic year,National,K02000001,United Kingdom,Female,Education and teaching,Total,PhD and equivalent,Total,3825
202122,Academic year,National,K02000001,United Kingdom,Female,Engineering and technology,Total,First degree,Total,24310
202122,Academic year,National,K02000001,United Kingdom,Female,Engineering and technology,Total,Masters and Others,Total,8855
202122,Academic year,National,K02000001,United Kingdom,Female,Engineering and technology,Total,Other Undergraduate,Total,2220
202122,Academic year,National,K02000001,United Kingdom,Female,Engineering and technology,Total,PhD and equivalent,Total,3840
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (natural sciences)",Total,First degree,Total,12610
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (natural sciences)",Total,Masters and Others,Total,3230
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (natural sciences)",Total,Other Undergraduate,Total,300
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (natural sciences)",Total,PhD and equivalent,Total,1490
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (social sciences)",Total,First degree,Total,5075
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (social sciences)",Total,Masters and Others,Total,1710
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (social sciences)",Total,Other Undergraduate,Total,135
202122,Academic year,National,K02000001,United Kingdom,Female,"Geography, earth and environmental studies (social sciences)",Total,PhD and equivalent,Total,310
202122,Academic year,National,K02000001,United Kingdom,Female,"Historical, philosophical and religious studies",Total,First degree,Total,34120
202122,Academic year,National,K02000001,United Kingdom,Female,"Historical, philosophical and religious studies",Total,Masters and Others,Total,7745
202122,Academic year,National,K02000001,United Kingdom,Female,"Historical, philosophical and religious studies",Total,Other Undergraduate,Total,1545
202122,Academic year,National,K02000001,United Kingdom,Female,"Historical, philosophical and religious studies",Total,PhD and equivalent,Total,3145
202122,Academic year,National,K02000001,United Kingdom,Female,Language and area studies,Total,First degree,Total,47170
202122,Academic year,National,K02000001,United Kingdom,Female,Language and area studies,Total,Masters and Others,Total,10190
202122,Academic year,National,K02000001,United Kingdom,Female,Language and area studies,Total,Other Undergraduate,Total,3085
202122,Academic year,National,K02000001,United Kingdom,Female,Language and area studies,Total,PhD and equivalent,Total,3100
202122,Academic year,National,K02000001,United Kingdom,Female,Law,Total,First degree,Total,61860
202122,Academic year,National,K02000001,United Kingdom,Female,Law,Total,Masters and Others,Total,23155
202122,Academic year,National,K02000001,United Kingdom,Female,Law,Total,Other Undergraduate,Total,5015
202122,Academic year,National,K02000001,United Kingdom,Female,Law,Total,PhD and equivalent,Total,1090
202122,Academic year,National,K02000001,United Kingdom,Female,Mathematical sciences,Total,First degree,Total,14925
202122,Academic year,National,K02000001,United Kingdom,Female,Mathematical sciences,Total,Masters and Others,Total,3700
202122,Academic year,National,K02000001,United Kingdom,Female,Mathematical sciences,Total,Other Undergraduate,Total,5690
202122,Academic year,National,K02000001,United Kingdom,Female,Mathematical sciences,Total,PhD and equivalent,Total,940
202122,Academic year,National,K02000001,United Kingdom,Female,"Media, journalism and communications",Total,First degree,Total,19080
202122,Academic year,National,K02000001,United Kingdom,Female,"Media, journalism and communications",Total,Masters and Others,Total,9005
