time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,phase,pupil_teacher_ratio
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,22.6
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,21.5
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,15.9
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,6.6
201617,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total maintained,18.3
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,22
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,20.9
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,15.4
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,6.5
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total maintained,17.6
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,19.7
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,20.7
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,15.8
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Special,5.9
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Total maintained,17.7
201617,Academic year,Regional,E92000001,England,E12000008,South East,Nursery,18.6
201617,Academic year,Regional,E92000001,England,E12000008,South East,Primary,20.7
201617,Academic year,Regional,E92000001,England,E12000008,South East,Secondary,15.9
201617,Academic year,Regional,E92000001,England,E12000008,South East,Special,5.8
201617,Academic year,Regional,E92000001,England,E12000008,South East,Total maintained,17.7
201617,Academic year,Regional,E92000001,England,E12000009,South West,Nursery,17.2
201617,Academic year,Regional,E92000001,England,E12000009,South West,Primary,19.9
201617,Academic year,Regional,E92000001,England,E12000009,South West,Secondary,15.9
201617,Academic year,Regional,E92000001,England,E12000009,South West,Special,5.5
201617,Academic year,Regional,E92000001,England,E12000009,South West,Total maintained,17.4
201617,Academic year,Regional,E92000001,England,E13000001,Inner London,Nursery,17.3
201617,Academic year,Regional,E92000001,England,E13000001,Inner London,Primary,18
201617,Academic year,Regional,E92000001,England,E13000001,Inner London,Secondary,13.4
201617,Academic year,Regional,E92000001,England,E13000001,Inner London,Special,4.8
201617,Academic year,Regional,E92000001,England,E13000001,Inner London,Total maintained,15.3
201617,Academic year,Regional,E92000001,England,E13000002,Outer London,Nursery,20.8
201617,Academic year,Regional,E92000001,England,E13000002,Outer London,Primary,20.2
201617,Academic year,Regional,E92000001,England,E13000002,Outer London,Secondary,15.3
201617,Academic year,Regional,E92000001,England,E13000002,Outer London,Special,5.4
201617,Academic year,Regional,E92000001,England,E13000002,Outer London,Total maintained,17.3
201718,Academic year,National,E92000001,England,,,Nursery,21.9
201718,Academic year,National,E92000001,England,,,Primary,20.9
201718,Academic year,National,E92000001,England,,,Secondary,15.9
201718,Academic year,National,E92000001,England,,,Special,6.2
201718,Academic year,National,E92000001,England,,,Total maintained,17.9
201718,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,27.7
201718,Academic year,Regional,E92000001,England,E12000001,North East,Primary,20.3
