time_period,time_identifier,geographic_level,country_code,country_name,education_function,expenditure_type,expenditure_level,t_expenditure_millions,t_expenditure_real_terms_millions,pt_expenditure_of_gdp
201516,Financial year,National,K02000001,United Kingdom,Primary education,Capital,Total,2962.8230000000003,z,z
201516,Financial year,National,K02000001,United Kingdom,Primary education,Total,Total,28100.525000000001,z,z
201516,Financial year,National,K02000001,United Kingdom,Secondary education,Current,Total,35593.667000000001,z,z
201516,Financial year,National,K02000001,United Kingdom,Secondary education,Capital,Total,3378.7510000000002,z,z
201516,Financial year,National,K02000001,United Kingdom,Secondary education,Total,Total,38972.418000000005,z,z
201516,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Current,Total,430.375,z,z
201516,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Capital,Total,77.438000000000002,z,z
201516,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Total,Total,507.81299999999999,z,z
201516,Financial year,National,K02000001,United Kingdom,Tertiary education,Current,Total,5791.0410000000002,z,z
201516,Financial year,National,K02000001,United Kingdom,Tertiary education,Capital,Total,373.36900000000003,z,z
201516,Financial year,National,K02000001,United Kingdom,Tertiary education,Total,Total,6164.41,z,z
201516,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Current,Total,3470.8809999999999,z,z
201516,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Capital,Total,32.661999999999999,z,z
201516,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Total,Total,3503.5430000000001,z,z
201516,Financial year,National,K02000001,United Kingdom,Research & Development education,Current,Total,0,z,z
201516,Financial year,National,K02000001,United Kingdom,Research & Development education,Capital,Total,1573.3000000000002,z,z
201516,Financial year,National,K02000001,United Kingdom,Research & Development education,Total,Total,1573.3000000000002,z,z
201516,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Current,Total,1533.1440000000002,z,z
201516,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Capital,Total,824.73400000000004,z,z
201516,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Total,Total,2357.8780000000002,z,z
201516,Financial year,National,K02000001,United Kingdom,Total,Current,Total,74973.642000000007,z,z
201516,Financial year,National,K02000001,United Kingdom,Total,Capital,Total,9308.4680000000008,z,z
201516,Financial year,National,K02000001,United Kingdom,Total,Total,Total,84282.110000000015,102687.002141902,4.34988155266648
201617,Financial year,National,K02000001,United Kingdom,Under fives,Current,Local,2939.0280000000002,z,z
201617,Financial year,National,K02000001,United Kingdom,Under fives,Capital,Local,100.035,z,z
201617,Financial year,National,K02000001,United Kingdom,Under fives,Total,Local,3039.0630000000001,z,z
201617,Financial year,National,K02000001,United Kingdom,Primary education,Current,Local,24464.517,z,z
201617,Financial year,National,K02000001,United Kingdom,Primary education,Capital,Local,2720.8290000000002,z,z
201617,Financial year,National,K02000001,United Kingdom,Primary education,Total,Local,27185.346000000001,z,z
201617,Financial year,National,K02000001,United Kingdom,Secondary education,Current,Local,9925.880000000001,z,z
201617,Financial year,National,K02000001,United Kingdom,Secondary education,Capital,Local,1349.377,z,z
201617,Financial year,National,K02000001,United Kingdom,Secondary education,Total,Local,11275.257,z,z
201617,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Current,Local,477.94,z,z
201617,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Capital,Local,115.69200000000001,z,z
201617,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Total,Local,593.63200000000006,z,z
201617,Financial year,National,K02000001,United Kingdom,Tertiary education,Current,Local,z,z,z
201617,Financial year,National,K02000001,United Kingdom,Tertiary education,Capital,Local,z,z,z
201617,Financial year,National,K02000001,United Kingdom,Tertiary education,Total,Local,z,z,z
201617,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Current,Local,2888.9560000000001,z,z
201617,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Capital,Local,28.647000000000002,z,z
201617,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Total,Local,2917.6030000000001,z,z
